Test Case ID,Test Case Description,Category,Priority,Preconditions,Test Steps,Expected Result,Actual Result,Status,Tested By,Test Date,Remarks
TC_MF_GM_001,Verify Group Maintenance module loads successfully,Functional,P1,User is logged in with access to MicroFinance module,1. Navigate to Start > MicroFinance > Group Maintenance | 2. Wait for page load completion | 3. Verify sidebar main form and action panel are visible,Group Maintenance screen loads without console errors and core sections are visible,,Not Executed,,,
TC_MF_GM_002,Verify default branch value is loaded from session,Functional,P1,Valid branch exists in user session,1. Open Group Maintenance screen | 2. Observe Branch ID field,Branch ID is prefilled from session and can be used for lookup and view actions,,Not Executed,,,
TC_MF_GM_003,Verify branch lookup search and selection,Functional,P1,Module is loaded,1. Click Branch lookup icon | 2. Search for a valid branch | 3. Select a record,Selected branch ID and branch name are populated correctly,,Not Executed,,,
TC_MF_GM_004,Verify center lookup is available in view mode,Functional,P1,Valid branch is selected,1. Keep form in view mode | 2. Click Center lookup icon | 3. Select an existing center,Center ID and center name are populated and record can be viewed,,Not Executed,,,
TC_MF_GM_005,Verify View action loads existing group details,Functional,P1,Valid branch and center are selected,1. Click View | 2. Wait for data load | 3. Review fields in all sections,All persisted group details are loaded and form remains non-editable,,Not Executed,,,
TC_MF_GM_006,Verify Add action requires branch selection,Validation,P1,Branch ID is empty,1. Clear branch field | 2. Click Add,System blocks add mode and shows validation message for required branch,,Not Executed,,,
TC_MF_GM_007,Verify Add mode field behavior and button states,Business,P1,Valid branch is selected,1. Click Add | 2. Observe field editability and action buttons,Editable fields become enabled while Center ID stays readonly and Save Cancel become active,,Not Executed,,,
TC_MF_GM_008,Verify center name is editable only in Add mode,Business,P1,User entered Add mode,1. Click Add | 2. Check center name field | 3. Cancel | 4. Load record and click Edit | 5. Check center name field,Center name is editable in Add mode and readonly in Edit mode as per business rule,,Not Executed,,,
TC_MF_GM_009,Verify center lookup is disabled in Add mode,Business,P2,User entered Add mode,1. Click Add | 2. Try clicking Center lookup icon,Center lookup is blocked in Add mode because group ID will be system generated,,Not Executed,,,
TC_MF_GM_010,Verify required field validation on Save in Add mode,Validation,P1,User is in Add mode,1. Click Add | 2. Leave mandatory fields empty | 3. Click Save,System prevents save and identifies required fields including center name and core dates,,Not Executed,,,
